145700589719,Waiting the late night deploy to finish,http://devopsreactions.tumblr.com/post/145700589719/waiting-the-late-night-deploy-to-finish
145651779116,Getting the job done by mistake,http://devopsreactions.tumblr.com/post/145651779116/getting-the-job-done-by-mistake
145601914980,Unrealistic project estimation,http://devopsreactions.tumblr.com/post/145601914980/unrealistic-project-estimation
145550889430,Coding on a comfortable position,http://devopsreactions.tumblr.com/post/145550889430/coding-on-a-comfortable-position
145499711045,Problem Escalation,http://devopsreactions.tumblr.com/post/145499711045/problem-escalation
144645169838,Looking at old code,http://devopsreactions.tumblr.com/post/144645169838/looking-at-old-code
144595737172,When you need to create a mock service ASAP,http://devopsreactions.tumblr.com/post/144595737172/when-you-need-to-create-a-mock-service-asap
144546021385,CTO introduces me to the visiting investors during an outage,http://devopsreactions.tumblr.com/post/144546021385/cto-introduces-me-to-the-visiting-investors-during
144495955991,Tech people at video conferences,http://devopsreactions.tumblr.com/post/144495955991/tech-people-at-video-conferences
144444701479,Making fun of others’ technical mishaps,http://devopsreactions.tumblr.com/post/144444701479/making-fun-of-others-technical-mishaps
144290300487,The one that doesn’t let the bad practices go,http://devopsreactions.tumblr.com/post/144290300487/the-one-that-doesnt-let-the-bad-practices-go
144241363352,When you know that you are getting closer to the bug,http://devopsreactions.tumblr.com/post/144241363352/when-you-know-that-you-are-getting-closer-to-the
144191373511,When my full time project is canceled,http://devopsreactions.tumblr.com/post/144191373511/when-my-full-time-project-is-canceled
144140157381,"Devs, after Ops declare the outage to be over",http://devopsreactions.tumblr.com/post/144140157381/devs-after-ops-declare-the-outage-to-be-over
144089050029,When people ask for a status update,http://devopsreactions.tumblr.com/post/144089050029/when-people-ask-for-a-status-update
143934692418,Old code refactoring,http://devopsreactions.tumblr.com/post/143934692418/old-code-refactoring
143885280016,When you get accustomed to some bugs,http://devopsreactions.tumblr.com/post/143885280016/when-you-get-accustomed-to-some-bugs
143834552072,My fix for the long outstanding bug finally passes QA,http://devopsreactions.tumblr.com/post/143834552072/my-fix-for-the-long-outstanding-bug-finally-passes
143783235051,When the customer calls during an outage,http://devopsreactions.tumblr.com/post/143783235051/when-the-customer-calls-during-an-outage
143574745033,Preparing for a deploy,http://devopsreactions.tumblr.com/post/143574745033/preparing-for-a-deploy
143524367750,Taking over a legacy project,http://devopsreactions.tumblr.com/post/143524367750/taking-over-a-legacy-project
143473511393,cgroups vs resources,http://devopsreactions.tumblr.com/post/143473511393/cgroups-vs-resources
143421696964,Managing the same file with multiple Puppet exec resources,http://devopsreactions.tumblr.com/post/143421696964/managing-the-same-file-with-multiple-puppet-exec
143369016484,When the customer finds out that the service was a mock,http://devopsreactions.tumblr.com/post/143369016484/when-the-customer-finds-out-that-the-service-was-a
143208806219,Switching to the bleeding-edge version,http://devopsreactions.tumblr.com/post/143208806219/switching-to-the-bleeding-edge-version
143157038450,Falling back to IPv4,http://devopsreactions.tumblr.com/post/143157038450/falling-back-to-ipv4
143105267795,Starting an old legacy server,http://devopsreactions.tumblr.com/post/143105267795/starting-an-old-legacy-server
143052827250,When the build fails at the last step,http://devopsreactions.tumblr.com/post/143052827250/when-the-build-fails-at-the-last-step
142999252507,Coming across the UI changes that were deployed on Friday,http://devopsreactions.tumblr.com/post/142999252507/coming-across-the-ui-changes-that-were-deployed-on
142837211682,When SecOps shows up to the meeting,http://devopsreactions.tumblr.com/post/142837211682/when-secops-shows-up-to-the-meeting
142784601212,Our Development Process,http://devopsreactions.tumblr.com/post/142784601212/our-development-process
142731027562,When docker upgrade goes without a hitch,http://devopsreactions.tumblr.com/post/142731027562/when-docker-upgrade-goes-without-a-hitch
142677295744,Watching the “Hitler uses Docker” video,http://devopsreactions.tumblr.com/post/142677295744/watching-the-hitler-uses-docker-video
142622082107,Engineers around the world when SpaceX landed the Falcon-9,http://devopsreactions.tumblr.com/post/142622082107/engineers-around-the-world-when-spacex-landed-the
142451630784,Tension before deployment,http://devopsreactions.tumblr.com/post/142451630784/tension-before-deployment
142397048874,Your definition of success -vs- PM-trying-to-meet-the-deadline’s definition of success,http://devopsreactions.tumblr.com/post/142397048874/your-definition-of-success-vs
142341582246,Diving into the legacy code to find a bug,http://devopsreactions.tumblr.com/post/142341582246/diving-into-the-legacy-code-to-find-a-bug
142286316054,When you notice that the “automation” ended up being the intern doing it,http://devopsreactions.tumblr.com/post/142286316054/when-you-notice-that-the-automation-ended-up
142229608699,When the technical debt unrolls,http://devopsreactions.tumblr.com/post/142229608699/when-the-technical-debt-unrolls
142060582959,When you notice a bug but don’t pay attention to it,http://devopsreactions.tumblr.com/post/142060582959/when-you-notice-a-bug-but-dont-pay-attention-to
142004553510,When the awesome feature bites you,http://devopsreactions.tumblr.com/post/142004553510/when-the-awesome-feature-bites-you
141947446440,Hitting the corner case that you left uncovered,http://devopsreactions.tumblr.com/post/141947446440/hitting-the-corner-case-that-you-left-uncovered
141889676366,Trying to cover all corner cases,http://devopsreactions.tumblr.com/post/141889676366/trying-to-cover-all-corner-cases
141653040160,Trying to do normal stuff with SELinux enabled,http://devopsreactions.tumblr.com/post/141653040160/trying-to-do-normal-stuff-with-selinux-enabled
141596285741,"Dev to QA, QA to Ops",http://devopsreactions.tumblr.com/post/141596285741/dev-to-qa-qa-to-ops
141538839771,HR next to a Developer performing an interview,http://devopsreactions.tumblr.com/post/141538839771/hr-next-to-a-developer-performing-an-interview
141480902383,When the Linux admin fills in for the Windows admin,http://devopsreactions.tumblr.com/post/141480902383/when-the-linux-admin-fills-in-for-the-windows
141423507143,When the Windows admin fills in for the Linux admin,http://devopsreactions.tumblr.com/post/141423507143/when-the-windows-admin-fills-in-for-the-linux
141248240900,Realizing the CTO is behind you while browsing devopsreactions,http://devopsreactions.tumblr.com/post/141248240900/realizing-the-cto-is-behind-you-while-browsing
141194433737,Working with juniors,http://devopsreactions.tumblr.com/post/141194433737/working-with-juniors
141138962449,Checking the firewall logs,http://devopsreactions.tumblr.com/post/141138962449/checking-the-firewall-logs
141082220167,Checking shared hosting mail queues,http://devopsreactions.tumblr.com/post/141082220167/checking-shared-hosting-mail-queues
141024225909,Monday morning zabbix,http://devopsreactions.tumblr.com/post/141024225909/monday-morning-zabbix
140848669827,Launching a new product ...and how the Internet treats it,http://devopsreactions.tumblr.com/post/140848669827/launching-a-new-product-and-how-the-internet
140793117628,Did you hear that they are gonna give us a raise? Whaaat?,http://devopsreactions.tumblr.com/post/140793117628/did-you-hear-that-they-are-gonna-give-us-a-raise
140736951901,When your long BPF expression catches the traffic on the first attempt,http://devopsreactions.tumblr.com/post/140736951901/when-your-long-bpf-expression-catches-the-traffic
140680248273,The effect of GIL on multithreaded Python programs,http://devopsreactions.tumblr.com/post/140680248273/the-effect-of-gil-on-multithreaded-python-programs
140621920499,CI running the automated tests,http://devopsreactions.tumblr.com/post/140621920499/ci-running-the-automated-tests
140439323866,I am going to add these features within the current time frame,http://devopsreactions.tumblr.com/post/140439323866/i-am-going-to-add-these-features-within-the
140382296299,The perfect week,http://devopsreactions.tumblr.com/post/140382296299/the-perfect-week
