Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1382733698693480457,https://t.co/BmMU9eCBRy,PROGRAMMING MEMES,sigsegmeme,2021-04-15T16:32:58.000Z,Thu Apr 15 16:32:58 +0000 2021,73,16,zxx,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EzBzODsW8AEa9-R.jpg,,,
1379602114784206853,tag someone still waiting to see if their rust app compiles https://t.co/mnG9CbgS0z,PROGRAMMING MEMES,sigsegmeme,2021-04-07T01:09:10.000Z,Wed Apr 07 01:09:10 +0000 2021,42,4,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EyVUz7EWQAEYLFY.jpg,,,
1377692020668522508,Look mom I’m using sum types https://t.co/V3W6m2cN5n,PROGRAMMING MEMES,sigsegmeme,2021-04-01T18:39:08.000Z,Thu Apr 01 18:39:08 +0000 2021,42,6,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Ex6LlyYWUAIyna_.jpg,,,
1377032893738979332,not my problem 😤 https://t.co/8tCGt4FeSB,PROGRAMMING MEMES,sigsegmeme,2021-03-30T23:00:00.000Z,Tue Mar 30 23:00:00 +0000 2021,48,11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Exw0Hk9WYAMDU5r.jpg,,,
1376641539032633357,"them: don't worry about that now, we'll cross that bridge when we get to it

the bridge when you get to it: https://t.co/9l4eY5szuN",PROGRAMMING MEMES,sigsegmeme,2021-03-29T21:04:54.000Z,Mon Mar 29 21:04:54 +0000 2021,49,11,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/ExrPqfIXIAYhbWa.jpg,,,
1375112491479470084,tag someone rewriting live production code rn https://t.co/sDT8h7gTLR,PROGRAMMING MEMES,sigsegmeme,2021-03-25T15:49:00.000Z,Thu Mar 25 15:49:00 +0000 2021,17,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/ExVhSreXMAgF_Eu.jpg,,,
1374842704882982915,"web dev: our app is so janky and convoluted it sucks to work with
firmware dev: https://t.co/vYtRax4pUD",PROGRAMMING MEMES,sigsegmeme,2021-03-24T21:56:58.000Z,Wed Mar 24 21:56:58 +0000 2021,40,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/ExRsJyZWQAUP22L.jpg,,,
1373135006562942977,"the job: developing an application to satisfy some requirements
the interview questions: https://t.co/JjgSW8u7TR",PROGRAMMING MEMES,sigsegmeme,2021-03-20T04:51:11.000Z,Sat Mar 20 04:51:11 +0000 2021,54,11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1373134851151437825/pu/vid/920x720/oT0lbMtBVXG5mMA9.mp4?tag=12,,,
1373061305918164997,s/Javascript/&lt;language you stan&gt;/g https://t.co/XQM8CqUrPh,PROGRAMMING MEMES,sigsegmeme,2021-03-19T23:58:20.000Z,Fri Mar 19 23:58:20 +0000 2021,37,8,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Ew4X-xdW8AMYUqn.jpg,,,
1371967038877360131,@biowaffeln this is called Stockholm Syndrome,PROGRAMMING MEMES,sigsegmeme,2021-03-16T23:30:06.000Z,Tue Mar 16 23:30:06 +0000 2021,7,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1371917189826105350,authors note: i am using javascript now so expect many more expressions of pain and suffering to come,PROGRAMMING MEMES,sigsegmeme,2021-03-16T20:12:01.000Z,Tue Mar 16 20:12:01 +0000 2021,13,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1371916595514183685,thank you javascript very cool! https://t.co/WTjJpTg1n9,PROGRAMMING MEMES,sigsegmeme,2021-03-16T20:09:40.000Z,Tue Mar 16 20:09:40 +0000 2021,173,40,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EwoGBr4WEAIlrZ7.jpg,,,
1359547718352457733,hey! me again! I know you must be busy so you haven’t seen my 9 previous emails haha 😛 they must have fallen through those cracks in our inboxes that definitely exist lol anyways let me know what time works for a quick chat. I’ll check back in 20 minutes :) Thanks! https://t.co/ODIB7jIHcf,PROGRAMMING MEMES,sigsegmeme,2021-02-10T17:00:09.000Z,Wed Feb 10 17:00:09 +0000 2021,28,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Et4VcbAXIAUrTwQ.jpg,,,
